id,Type,fixed acidity,volatile acidity,"citric 
acid",residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
id0049,white,5.7,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
id0050,white,7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
id0051,white,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
id0052,white,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7
id0053,white,6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6
id0054,white,6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
id0055,red,8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5
id0056,white,7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5
id0057,red,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
id0058,red,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5
id0059,white,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
id0060,white,6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6
id0061,red,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
id0062,white,7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6
id0063,white,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
id0064,white,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
id0065,white,5.7,0.25,0.22,9.8,0.049,50,125,0.99571,3.2,0.45,10.1,6
id0066,white,7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5
id0067,white,7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6
id0068,red,9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
id0069,white,7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
id0070,red,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5
id0071,white,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,7
id0072,white,9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6
id0073,white,6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5
id0074,white,9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5
id0075,white,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
id0076,white,6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
id0077,white,7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,7
id0078,white,7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8
id0079,white,6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6
id0080,white,5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5
id0081,red,13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6
id0082,white,7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
id0083,white,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5
id0084,white,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6
id0085,white,6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6
id0086,red,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
id0087,white,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6
id0088,red,7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5
id0089,white,8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5
id0090,red,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
id0091,red,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
id0092,white,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
id0093,red,8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7
id0094,red,9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5
id0095,white,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6
id0096,white,6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
id0097,white,7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
id0098,red,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
id0099,white,7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
id0100,white,6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6
id0101,white,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
id0102,white,7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6
id0103,red,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
id0104,red,9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,6
id0105,white,7.5,0.18,0.39,1.9,0.054,23,91,0.9941,3.27,0.45,10.3,6
id0106,white,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
id0107,white,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6
id0108,white,6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,6
id0109,white,7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
id0110,red,9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7
id0111,white,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5
id0112,white,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
id0113,white,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
id0114,red,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
id0115,red,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5
id0116,white,7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5
id0117,white,6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,5
id0118,white,6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6
id0119,white,7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6
id0120,red,9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6
id0121,white,6.8,0.11,0.42,1.1,0.042,51,132,0.99059,3.18,0.74,11.3,7
id0122,red,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5
id0123,white,6.3,0.32,0.35,11.1,0.039,29,198,0.9984,3.36,0.5,9.4,7
id0124,white,7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,6
id0125,white,8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7
id0126,white,5.7,0.385,0.04,12.6,0.034,22,115,0.9964,3.28,0.63,9.9,6
id0127,white,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7
id0128,white,5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,7
id0129,white,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
id0130,white,5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7
id0131,red,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
id0132,red,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,6
id0133,red,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
id0134,red,6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5
id0135,white,5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6
id0136,white,5.7,0.25,0.27,10.8,0.05,58,116,0.99592,3.1,0.5,9.8,6
id0137,white,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
id0138,white,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5
id0139,white,6.4,0.3,0.27,4.4,0.055,17,135,0.9925,3.23,0.44,12.2,6
id0140,white,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6
id0141,red,10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
id0142,white,7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5
id0143,white,7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5
id0144,white,7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
id0145,white,6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,6
id0146,white,6.8,0.34,0.27,5.2,0.06,14,169,0.99252,3.27,0.57,11.6,6
id0147,white,6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6
id0148,white,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
id0149,white,7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,6
id0150,white,5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
id0151,red,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
id0152,white,7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
id0153,white,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
id0154,red,8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6
id0155,white,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6
id0156,white,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7
id0157,red,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
id0158,white,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
id0159,white,7.4,0.21,0.27,7.3,0.031,41,144,0.9932,3.15,0.38,11.8,7
id0160,white,7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,6
id0161,white,7.6,0.445,0.44,14.5,0.045,68,212,0.9986,3.48,0.36,10,6
id0162,white,7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
id0163,white,6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7
id0164,red,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
id0165,white,7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7
id0166,white,5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5
id0167,white,6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9,6
id0168,white,6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6
id0169,white,6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6
id0170,white,6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,6
id0171,white,5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5
id0172,white,8.7,0.15,0.3,1.6,0.046,29,130,0.9942,3.22,0.38,9.8,6
id0173,white,6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
id0174,white,7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6
id0175,red,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
id0176,red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
id0177,white,6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5
id0178,white,8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5
id0179,white,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7
id0180,white,6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
id0181,red,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
id0182,white,7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,5
id0183,white,5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,5
id0184,white,8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
id0185,white,6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5,7
id0186,red,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
id0187,white,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9,5
id0188,white,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
id0189,red,12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5
id0190,white,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
id0191,white,6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5
id0192,red,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
id0193,red,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6
id0194,white,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
id0195,white,7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,8
id0196,white,7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
id0197,white,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
id0198,white,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
id0199,white,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
id0200,red,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5
id0201,white,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
id0202,white,6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,6
id0203,white,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
id0204,white,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5
id0205,red,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
id0206,white,6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7,5
id0207,white,5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8
id0208,white,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5
id0209,white,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
id0210,white,8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,6
id0211,white,5.7,0.36,0.34,4.2,0.026,21,77,0.9907,3.41,0.45,11.9,6
id0212,red,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
id0213,white,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7
id0214,white,7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6
id0215,white,6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2,8
id0216,white,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6
id0217,white,6.1,0.28,0.23,4.2,0.038,13,95,0.98898,2.97,0.7,13.1,6
id0218,white,7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6
id0219,white,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
id0220,white,6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6
id0221,red,6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4
id0222,red,11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5
id0223,white,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
id0224,white,8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6
id0225,white,5.7,0.18,0.22,4.2,0.042,25,111,0.994,3.35,0.39,9.4,5
id0226,red,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
id0227,white,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6
id0228,red,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
id0229,white,6.9,0.58,0.58,8.2,0.032,29,169,0.99275,3.28,0.44,12.2,6
id0230,white,7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5
id0231,white,5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6
id0232,white,7.5,0.17,0.71,11.8,0.038,52,148,0.99801,3.03,0.46,8.9,5
id0233,red,7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5
id0234,white,5.9,0.23,0.28,8.6,0.046,37,142,0.99432,3.23,0.53,10.6,6
id0235,white,5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,5
id0236,white,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4
id0237,white,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7
id0238,red,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
id0239,white,9,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,7
id0240,white,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6
id0241,white,8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
id0242,white,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6
id0243,white,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
id0244,white,5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,6
id0245,white,5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,7
id0246,white,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7
id0247,red,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
id0248,white,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6
id0249,white,8,0.27,0.24,1.2,0.044,20,102,0.9929,3.28,0.42,10.9,5
id0250,white,7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5
id0251,red,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
id0252,white,8.2,0.18,0.31,11.8,0.039,96,249,0.9976,3.07,0.52,9.5,6
id0253,white,6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5
id0254,white,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
id0255,white,7,0.24,0.25,1.7,0.042,48,189,0.992,3.25,0.42,11.4,6
id0256,white,6.9,0.18,0.33,1,0.054,24,164,0.9926,3.42,0.51,10.5,5
id0257,white,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
id0258,white,7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7
id0259,white,8,0.14,0.33,1.2,0.045,71,162,0.9914,3.07,0.47,11,6
id0260,white,6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,6
id0261,red,9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6
id0262,white,7.1,0.09,0.3,6.2,0.032,24,134,0.993,2.99,0.39,10.9,6
id0263,white,7.7,0.38,0.4,2,0.038,28,152,0.9906,3.18,0.32,12.9,6
id0264,red,8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4
id0265,white,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
id0266,white,9.4,0.3,0.32,10.7,0.029,14,111,0.9958,2.85,0.42,10.6,5
id0267,white,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,7
id0268,white,6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,6
id0269,white,6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5
id0270,white,6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5
id0271,white,7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,5
id0272,red,7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,6
id0273,white,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
id0274,white,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
id0275,white,7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
id0276,red,7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5
id0277,white,6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
id0278,white,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
id0279,white,7.9,0.37,0.31,2.85,0.037,5,24,0.9911,3.19,0.36,11.9,6
id0280,white,6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,6
id0281,red,8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,6
id0282,white,8,0.2,0.36,1.2,0.032,21,78,0.9921,3.08,0.37,10.4,6
id0283,white,6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6
id0284,white,7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10,6
id0285,white,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5
id0286,white,6.8,0.37,0.28,4,0.03,29,79,0.99,3.23,0.46,12.4,7
